model,target,split_strategy,split_folder,split,metric,value
Lasso,SURFTEMP,random,overfit,train,R²,0.9018087655195042
Lasso,SURFTEMP,random,overfit,train,RMSE,1.1023550406105436
Lasso,SURFTEMP,random,overfit,train,MAE,0.7187503241987989
Lasso,SURFTEMP,random,overfit,train,Explained Var,0.9018087655195042
Lasso,SURFTEMP,random,overfit,test,R²,0.8960812486308558
Lasso,SURFTEMP,random,overfit,test,RMSE,1.1156742521978802
Lasso,SURFTEMP,random,overfit,test,MAE,0.7391623178442621
Lasso,SURFTEMP,random,overfit,test,Explained Var,0.8960857644529616
