Model,R²_train,R²_test,RMSE_train,RMSE_test,MAE_train,MAE_test,ExpVar_train,ExpVar_test,R²_gap,RMSE_gap,MAE_gap,Rank
ExtraTrees,0.0804564575179332,0.0165029363310377,0.8046219270825875,0.792281196218216,0.6389701289709012,0.6366006698424264,0.0804564575179334,0.0168901425301617,0.06395352118689551,-0.012340730864371485,-0.00236945912847486,1
RandomForest,0.0797740206403028,0.0164176941925422,0.8049204457546484,0.7923155299659418,0.6390485666324299,0.6341474160738952,0.0797954406721447,0.0164209131131994,0.0633563264477606,-0.012604915788706594,-0.004901150558534684,2
GradientBoosting,0.0797073464110043,0.0150402678160006,0.8049496051565226,0.7928701223379411,0.639195021531482,0.630455375608365,0.0797205571730879,0.017209145625722,0.0646670785950037,-0.01207948281858151,-0.008739645923117045,3
ElasticNet,0.0,-0.0215886311124819,0.8390845298158897,0.807478263515445,0.6702154748466218,0.6703887065423091,-2.220446049250313e-16,0.0,0.0215886311124819,-0.03160626630044461,0.00017323169568728147,4
Lasso,0.0,-0.0215886311124819,0.8390845298158897,0.807478263515445,0.6702154748466218,0.6703887065423091,-2.220446049250313e-16,0.0,0.0215886311124819,-0.03160626630044461,0.00017323169568728147,5
Ridge,0.0481214090947835,-0.0546272715470967,0.8186466587184118,0.8204314755811647,0.6491203251953075,0.6280767358351295,0.0481214090947834,-0.0257321434257438,0.1027486806418802,0.0017848168627528915,-0.021043589360178028,6
HistGradientBoosting,0.0837470858370751,-0.0552751146052705,0.79615920423702,0.8157618287168913,0.6346618100151362,0.6577532412362486,0.0837470858370751,-0.0550814349619928,0.1390222004423456,0.019602624479871267,0.023091431221112346,7
KNN,-0.1275267876054295,-0.4198334192219035,0.8909824473448464,0.9519442432565888,0.7017545411154557,0.8158847078665905,-0.1272750309285724,-0.1791781240389596,0.29230663161647397,0.060961795911742334,0.11413016675113485,8
