DECDEG_ENDLAT,DECDEG_ENDLON,BEGIN_GMT_TOWDATE,BOTSALIN,BOTTEMP,EXPCATCHNUM_log,EXPCATCHWT_log,SURFSALIN,SURFTEMP,curl_stress_curl,fsle_fsle_max,glorys_bottomT_surface,glorys_mlotst_surface,glorys_thetao_surface,glorys_thetao_surface_grad,glorys_so_surface
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.146128035678238,1.3381376283319082,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,2.2479732663618064,1.9166276316083901,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,2.1522883443830563,0.24600590407602912,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.2787536009528289,1.0818871394235496,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.47712125471966244,-0.5214335044061567,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.0,-1.1135092748275182,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.146128035678238,0.38381536598043126,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.6989700043360189,-1.431798275933005,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.6989700043360189,-0.9100948885606021,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.0,-2.0,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.0,0.07188200730612536,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.7781512503836436,-1.3467874862246563,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.041392685158225,-0.13966199342900631,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.380211241711606,-0.41680122603137726,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,,0.06445798922691845,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.5185139398778875,1.6896018424410357,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,1.2041199826559248,1.4255342204982635,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,0.0,-1.585026652029182,31.993,7.03,-1.9099889441939348e-07,-0.05118106109359424,6.978496121383587,23.705259343731065,7.090405585875619,0.007037239848012469,31.82739582649542
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,0.9030899869919435,1.2171679787711565,31.488,7.07,-7.949822835751079e-08,-0.11216027630787011,7.110182513470804,15.872542638674497,7.037950658190043,0.006865642603218663,31.467023164599766
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,1.7323937598229686,1.253144080570974,31.488,7.07,-7.949822835751079e-08,-0.11216027630787011,7.110182513470804,15.872542638674497,7.037950658190043,0.006865642603218663,31.467023164599766
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,1.6812412373755872,-0.30803489723263966,31.488,7.07,-7.949822835751079e-08,-0.11216027630787011,7.110182513470804,15.872542638674497,7.037950658190043,0.006865642603218663,31.467023164599766
