model,target,split_strategy,split_folder,split,metric,value
GradientBoosting,EXPCATCHNUM_log,random_islands,random,train,R²,0.07229604794312983
GradientBoosting,EXPCATCHNUM_log,random_islands,random,train,RMSE,0.7847480329078699
GradientBoosting,EXPCATCHNUM_log,random_islands,random,train,MAE,0.6254153551489998
GradientBoosting,EXPCATCHNUM_log,random_islands,random,train,Explained Var,0.07229669870928512
GradientBoosting,EXPCATCHNUM_log,random_islands,random,test,R²,-0.02072006636780399
GradientBoosting,EXPCATCHNUM_log,random_islands,random,test,RMSE,0.8759715473453037
GradientBoosting,EXPCATCHNUM_log,random_islands,random,test,MAE,0.6467569053844915
GradientBoosting,EXPCATCHNUM_log,random_islands,random,test,Explained Var,0.059541714294646386
