model,target,split_strategy,split_folder,split,metric,value
ExtraTrees,EXPCATCHNUM_log,random_islands,random,train,R²,0.07319072054418119
ExtraTrees,EXPCATCHNUM_log,random_islands,random,train,RMSE,0.7843695382828114
ExtraTrees,EXPCATCHNUM_log,random_islands,random,train,MAE,0.6255557319679981
ExtraTrees,EXPCATCHNUM_log,random_islands,random,train,Explained Var,0.07319072054418108
ExtraTrees,EXPCATCHNUM_log,random_islands,random,test,R²,0.00745478870205607
ExtraTrees,EXPCATCHNUM_log,random_islands,random,test,RMSE,0.863797261413061
ExtraTrees,EXPCATCHNUM_log,random_islands,random,test,MAE,0.6409889124904368
ExtraTrees,EXPCATCHNUM_log,random_islands,random,test,Explained Var,0.06701997838832996
