DECDEG_ENDLAT,DECDEG_ENDLON,BEGIN_GMT_TOWDATE,BOTSALIN,BOTTEMP,SURFSALIN,SURFTEMP,curl_stress_curl,fsle_fsle_max,glorys_bottomT,glorys_mlotst,glorys_so,glorys_thetao
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.945217,-73.419478,03/22/2024 06:43:58,32.015,7.05,31.993,7.03,-1.9099889441939348e-07,,6.978496121383587,23.705259343731065,31.82739582649542,7.090405585875619
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
39.750418,-73.450663,03/22/2024 04:42:05,31.506,7.1,31.488,7.07,-7.949822835751079e-08,,7.110182513470804,15.872542638674497,31.467023164599766,7.037950658190043
