model,target,split_strategy,split_folder,split,metric,value
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,train,R²,0.0
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,train,RMSE,0.8390845298158897
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,train,MAE,0.6702154748466218
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,train,Explained Var,-2.220446049250313e-16
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,test,R²,-0.021588631112481993
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,test,RMSE,0.807478263515445
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,test,MAE,0.6703887065423091
Lasso,EXPCATCHNUM_log,max_distance,max_time_dist,test,Explained Var,0.0
