model,target,split_strategy,split_folder,split,metric,value
KNN,EXPCATCHNUM_log,random_islands,random,train,R²,-0.13862577999896253
KNN,EXPCATCHNUM_log,random_islands,random,train,RMSE,0.8693927989737091
KNN,EXPCATCHNUM_log,random_islands,random,train,MAE,0.6814768087534512
KNN,EXPCATCHNUM_log,random_islands,random,train,Explained Var,-0.13703180652575542
KNN,EXPCATCHNUM_log,random_islands,random,test,R²,-0.14149582850478537
KNN,EXPCATCHNUM_log,random_islands,random,test,RMSE,0.9263472956909866
KNN,EXPCATCHNUM_log,random_islands,random,test,MAE,0.6858903079329999
KNN,EXPCATCHNUM_log,random_islands,random,test,Explained Var,-0.06500259968165567
