model,target,split_strategy,split_folder,split,metric,value
Ridge,EXPCATCHNUM_log,random,overfit,train,R²,0.03567810984584807
Ridge,EXPCATCHNUM_log,random,overfit,train,RMSE,0.8214575375672246
Ridge,EXPCATCHNUM_log,random,overfit,train,MAE,0.6491495443324063
Ridge,EXPCATCHNUM_log,random,overfit,train,Explained Var,0.03567810984584807
Ridge,EXPCATCHNUM_log,random,overfit,test,R²,0.04451041446651394
Ridge,EXPCATCHNUM_log,random,overfit,test,RMSE,0.7651628746385734
Ridge,EXPCATCHNUM_log,random,overfit,test,MAE,0.6373345081365198
Ridge,EXPCATCHNUM_log,random,overfit,test,Explained Var,0.048914933099601265
