model,target,split_strategy,split_folder,split,metric,value
RandomForest,EXPCATCHNUM_log,random,overfit,train,R²,0.0933115676304731
RandomForest,EXPCATCHNUM_log,random,overfit,train,RMSE,0.7965318457340412
RandomForest,EXPCATCHNUM_log,random,overfit,train,MAE,0.625993134747112
RandomForest,EXPCATCHNUM_log,random,overfit,train,Explained Var,0.0933159810900801
RandomForest,EXPCATCHNUM_log,random,overfit,test,R²,-0.03865210811568365
RandomForest,EXPCATCHNUM_log,random,overfit,test,RMSE,0.7977668109962309
RandomForest,EXPCATCHNUM_log,random,overfit,test,MAE,0.6631221830419626
RandomForest,EXPCATCHNUM_log,random,overfit,test,Explained Var,-0.03487127000694734
